업종명 ,영문명,합계,서울,인천,경기,강원,대전,충북,충남,세종,광주,전북,전남,대구,경북,부산,울산,경남,제주
여관ㆍ모텔,Inn·Motel,3223,304,163,592,197,127,138,233,7,103,136,136,105,291,251,81,325,34
여행사,Travel Agency,1772,686,54,237,40,38,36,48,11,49,49,61,55,69,132,35,60,112
예술학원,Art Institute,5310,1029,271,1643,99,164,122,171,79,168,204,101,284,228,289,116,292,50
예식장,Wedding Chapel,122,14,5,23,1,1,6,9,,5,10,11,4,8,7,4,13,1
옷가게,Clothing Shop,16939,2945,867,3781,539,612,571,662,96,746,658,609,977,913,1177,344,1146,296
의료용품가게,Medical Supplies Shop,1269,283,76,294,32,50,20,65,9,59,46,35,74,42,67,19,84,14
이륜자동차판매점,Motorcycle Shop,196,38,10,38,9,2,3,8,3,8,8,9,8,6,23,4,16,3
이발소,Barber Shop,732,156,36,150,35,24,22,24,6,19,26,30,48,37,42,24,50,3
이비인후과 의원,Ear-Nose-Throat Clinic,125,29,4,33,2,4,4,3,,3,6,1,6,6,13,4,6,1
일반외과 의원,General Surgery Clinic,358,93,20,98,8,5,10,10,6,9,5,10,19,12,23,4,16,10
일식전문점,Japanese Food Restaurant,4904,1491,245,1088,171,129,142,176,40,99,130,79,230,167,319,77,179,142
자동차수리점,Car Repair Shop,5411,555,341,1523,145,172,224,287,47,187,175,184,299,311,294,161,405,101
자전거판매점,Bicycle Shop,196,39,14,47,4,5,7,9,,6,7,8,7,12,10,5,15,1
장난감가게,Toy Shop,560,105,29,191,16,16,11,20,8,14,10,14,23,24,32,8,35,4
정육점,Butcher Shop,4024,506,279,1014,102,155,164,158,28,185,202,112,254,220,202,136,260,47
제과점,Bakery,3631,765,182,881,120,105,116,159,37,88,129,96,196,176,203,59,216,103
종합병원,General Hospital,279,42,15,51,4,12,11,17,4,23,11,15,9,10,19,7,27,2
주유소,Gas Station,1264,44,42,341,70,29,96,106,7,36,86,65,32,130,35,19,105,21
주차장운영업,Parking Lot Operation,1532,251,59,245,23,37,30,26,9,52,13,14,80,47,454,30,148,14
중고차판매점,Used Car Store,836,60,85,274,17,20,25,41,,36,44,17,83,28,30,12,56,8
중식전문점,Chinese Food Restaurant,5107,1054,272,1322,207,131,173,282,40,101,155,124,224,296,245,107,293,81
채소가게,Vegetable Shop,2135,299,119,475,146,54,90,131,14,60,110,108,76,142,116,21,143,31
철물점,Hardware Shop,428,59,23,107,19,12,13,22,6,19,24,21,19,16,20,11,32,5
치과병원ㆍ의원,Dental Hospital·Clinic,1081,271,49,286,17,31,33,51,9,42,32,20,58,37,66,18,52,9
침구ㆍ커튼가게,Bedding and Curtain Shop,970,139,34,234,31,36,37,55,11,24,42,46,66,60,52,25,57,21
커피음료점,Coffee and Beverage Shop,18819,3581,960,4107,576,691,679,847,123,598,793,613,823,1258,1077,390,1268,435
컴퓨터판매점,Computer Shop,731,176,39,198,17,24,20,18,8,35,25,21,18,29,40,14,41,8
통신판매업,Mail Order Business,87147,24694,5679,24007,1300,2431,1805,2302,414,2375,1831,1535,4372,2813,5904,1478,3616,591
패스트푸드점,Fast Food Store,9389,1372,495,2126,432,232,398,520,105,270,393,327,383,556,601,227,783,169
펜션ㆍ게스트하우스,Pension·Guest House,3291,194,102,404,534,3,92,303,1,5,100,164,7,280,45,23,360,674
편의점,Convenience Store,7074,1276,452,1795,287,193,240,393,47,173,199,232,266,288,416,166,449,202
피부관리업,Skin Beauty Shop,9435,1836,628,2216,224,284,251,339,62,509,288,386,414,339,664,206,636,153
피부ㆍ비뇨기과 의원,Dermatology·Urology Clinic,324,139,16,69,2,8,5,5,1,14,3,8,10,5,22,2,8,7
한방병원ㆍ한의원,Oriental Medical Hospital·Clinic,1123,290,53,279,26,33,30,38,12,38,38,42,39,40,86,14,45,20
한식전문점,Korean Food Restaurant,84317,10614,4329,18556,3720,2706,3284,4182,612,2365,3138,3329,4432,5975,5326,2592,7159,1998
헬스클럽,Fitness Center,1526,376,102,371,28,48,47,67,9,26,47,34,79,62,103,23,79,25
호프전문점,Beer Bar,9337,1593,531,1954,398,307,564,535,59,782,499,668,158,252,425,79,367,166
화장품가게,Cosmetics Shop,7751,1277,309,1883,270,269,270,284,46,242,375,244,426,438,535,217,525,141
휴대폰가게,Mobile Phone Shop,3941,688,242,872,109,139,95,243,22,115,137,106,218,218,302,105,283,47
LPG 충전소,LPG Station,138,5,8,42,5,7,8,9,,4,5,8,5,19,2,2,8,1
pc방,PC Room,3154,501,197,816,115,78,90,144,8,129,147,97,153,180,165,92,185,57
